Finnish,English
on ,is 
ei ,No 
ja ,and 
se ,it 
hän ,he 
en ,I don't 
mitä ,what 
että ,that 
ole ,be 
olen ,I am 
oli ,was 
niin ,so 
mutta ,but 
sen ,its 
vain ,only 
minä ,I 
jos ,if 
tämä ,this 
nyt ,now 
voi ,butter 
sinä ,you 
olet ,are 
kun ,when 
sitä ,the 
kuin ,than 
he ,they 
hänen ,his 
täällä ,here 
olla ,be 
et ,you don't 
kaikki ,all 
minun ,my 
ovat ,are 
hyvä ,good 
minua ,me 
sitten ,then 
onko,is
miksi ,why 
sinua ,you 
miten ,how 
sinun ,your 
älä ,area 
siitä ,thence 
hänet ,him 
mitään ,anything 
kyllä ,Yes 
kiitos ,thank you 
hei ,Hey 
mikä ,What 
olisi ,would be 
ne ,they 
kanssa ,with 
pitää ,keep 
joka ,which 
ollut ,been 
tai ,or 
häntä ,him 
tässä ,here 
tiedä ,don't know 
minulle ,to me 
minulla ,i have 
jotain ,something 
ehkä ,perhaps 
missä ,where 
tuo ,that 
minut ,me 
me ,we 
oletko ,are you 
kuka ,Who 
hyvin ,very 
anteeksi ,Sorry 
vielä ,yet 
tämän ,this 
sinut ,thee 
sinulle ,to you 
jo ,already 
koska ,because 
haluan ,i want 
olemme ,are 
tiedän ,i know 
tehdä ,make 
tänne ,here 
meidän ,our 
emme ,we do not 
saa ,weather 
tule ,Come 
paljon ,a lot 
siellä ,there 
anna ,give 
eivät ,they don't 
tätä ,this 
pois ,off 
ennen ,before 
sinulla ,you have 
täytyy ,must 
aina ,always 
tulee ,will come 
siinä ,there 
enää ,any more 
eikö ,isn't it 
